S.no,from,to,p/v,dollar,INR
1,0.041666667,0.052083333,Valley,0.356,10
2,0.052083333,0.0625,Valley,0.356,10
3,0.0625,0.072916667,Valley,0.356,10
4,0.072916667,0.083333333,Valley,0.356,10
5,0.083333333,0.09375,Valley,0.356,10
6,0.09375,0.104166667,Valley,0.356,10
7,0.104166667,0.114583333,Valley,0.356,10
8,0.114583333,0.125,Valley,0.356,10
9,0.125,0.135416667,Valley,0.356,10
10,0.135416667,0.145833333,Valley,0.356,10
11,0.145833333,0.15625,Valley,0.356,10
12,0.15625,0.166666667,Flat,0.687,19.29775281
13,0.166666667,0.177083333,Flat,0.687,19.29775281
14,0.177083333,0.1875,Flat,0.687,19.29775281
15,0.1875,0.197916667,Flat,0.687,19.29775281
16,0.197916667,0.208333333,Flat,0.687,19.29775281
17,0.208333333,0.21875,Flat,0.687,19.29775281
18,0.21875,0.229166667,Flat,0.687,19.29775281
19,0.229166667,0.239583333,Peak,0.869,24.41011236
20,0.239583333,0.25,Peak,0.869,24.41011236
21,0.25,0.260416667,Peak,0.869,24.41011236
22,0.260416667,0.270833333,Flat,0.687,19.29775281
23,0.270833333,0.28125,Flat,0.687,19.29775281
24,0.28125,0.291666667,Flat,0.687,19.29775281
25,0.291666667,0.302083333,Flat,0.687,19.29775281
26,0.302083333,0.3125,Flat,0.687,19.29775281
27,0.3125,0.322916667,Flat,0.687,19.29775281
28,0.322916667,0.333333333,Flat,0.687,19.29775281
29,0.333333333,0.34375,Peak,0.869,24.41011236
30,0.34375,0.354166667,Peak,0.869,24.41011236
31,0.354166667,0.364583333,Peak,0.869,24.41011236
32,0.364583333,0.375,Peak,0.869,24.41011236
33,0.375,0.385416667,Peak,0.869,24.41011236
34,0.385416667,0.395833333,Peak,0.869,24.41011236
35,0.395833333,0.40625,Peak,0.869,24.41011236
36,0.40625,0.416666667,Peak,0.869,24.41011236
37,0.416666667,0.427083333,Peak,0.869,24.41011236
38,0.427083333,0.4375,Peak,0.869,24.41011236
39,0.4375,0.447916667,Peak,0.869,24.41011236
40,0.447916667,0.458333333,Peak,0.869,24.41011236
41,0.458333333,0.46875,Peak,0.869,24.41011236
42,0.46875,0.479166667,Peak,0.869,24.41011236
43,0.479166667,0.489583333,Peak,0.869,24.41011236
44,0.489583333,0.5,Peak,0.869,24.41011236
45,0.5,0.510416667,Peak,0.869,24.41011236
46,0.510416667,0.520833333,Peak,0.869,24.41011236
47,0.520833333,0.53125,Peak,0.869,24.41011236
48,0.53125,0.541666667,Peak,0.869,24.41011236
49,0.541666667,0.552083333,Flat,0.687,19.29775281
50,0.552083333,0.5625,Flat,0.687,19.29775281
51,0.5625,0.572916667,Flat,0.687,19.29775281
52,0.572916667,0.583333333,Flat,0.687,19.29775281
53,0.583333333,0.59375,Flat,0.687,19.29775281
54,0.59375,0.604166667,Flat,0.687,19.29775281
55,0.604166667,0.614583333,Flat,0.687,19.29775281
56,0.614583333,0.625,Flat,0.687,19.29775281
57,0.625,0.635416667,Valley,0.356,10
58,0.635416667,0.645833333,Valley,0.356,10
59,0.645833333,0.65625,Valley,0.356,10
60,0.65625,0.666666667,Valley,0.356,10
61,0.666666667,0.677083333,Valley,0.356,10
62,0.677083333,0.6875,Valley,0.356,10
63,0.6875,0.697916667,Valley,0.356,10
64,0.697916667,0.708333333,Valley,0.356,10
65,0.708333333,0.71875,Valley,0.356,10
66,0.71875,0.729166667,Valley,0.356,10
67,0.729166667,0.739583333,Valley,0.356,10
68,0.739583333,0.75,Valley,0.356,10
69,0.75,0.760416667,Peak,0.869,24.41011236
70,0.760416667,0.770833333,Peak,0.869,24.41011236
71,0.770833333,0.78125,Peak,0.869,24.41011236
72,0.78125,0.791666667,Peak,0.869,24.41011236
73,0.791666667,0.802083333,Peak,0.869,24.41011236
74,0.802083333,0.8125,Peak,0.869,24.41011236
75,0.8125,0.822916667,Peak,0.869,24.41011236
76,0.822916667,0.833333333,Peak,0.869,24.41011236
77,0.833333333,0.84375,Peak,0.869,24.41011236
78,0.84375,0.854166667,Peak,0.869,24.41011236
79,0.854166667,0.864583333,Peak,0.869,24.41011236
80,0.864583333,0.875,Peak,0.869,24.41011236
81,0.875,0.885416667,Valley,0.356,10
82,0.885416667,0.895833333,Valley,0.356,10
83,0.895833333,0.90625,Valley,0.356,10
84,0.90625,0.916666667,Valley,0.356,10
85,0.916666667,0.927083333,Valley,0.356,10
86,0.927083333,0.9375,Valley,0.356,10
87,0.9375,0.947916667,Valley,0.356,10
88,0.947916667,0.958333333,Valley,0.356,10
89,0.958333333,0.96875,Valley,0.356,10
90,0.96875,0.979166667,Valley,0.356,10
91,0.979166667,0.989583333,Valley,0.356,10
92,0.989583333,0,Valley,0.356,10
93,0,0.010416667,Valley,0.356,10
94,0.010416667,0.020833333,Valley,0.356,10
95,0.020833333,0.03125,Valley,0.356,10
96,0.03125,0.041666667,Valley,0.356,10
